Time,Position,Velocity,Acceleration
0.000000,37.543000,0.000000,4.660099
0.010000,37.543466,0.046601,4.633821
0.020000,37.544393,0.092676,4.581403
0.030000,37.545775,0.138229,4.529263
0.040000,37.547608,0.183262,4.477402
0.050000,37.549885,0.227777,4.425818
0.060000,37.552603,0.271778,4.374513
0.070000,37.555756,0.315267,4.323485
0.080000,37.559338,0.358248,4.272736
0.090000,37.563346,0.400722,4.222264
0.100000,37.567773,0.442693,4.172071
0.110000,37.572614,0.484163,4.122156
0.120000,37.577866,0.525136,4.072518
0.130000,37.583522,0.565614,4.023159
0.140000,37.589578,0.605599,3.974078
0.150000,37.596029,0.645095,3.925274
0.160000,37.602870,0.684105,3.876749
0.170000,37.610096,0.722630,3.828502
0.180000,37.617703,0.760675,3.780533
0.190000,37.625685,0.798241,3.732842
0.200000,37.634038,0.835332,3.685429
0.210000,37.642758,0.871950,3.638294
0.220000,37.651839,0.908098,3.591437
0.230000,37.661277,0.943778,3.544858
0.240000,37.671067,0.978995,3.498557
0.250000,37.681204,1.013750,3.452534
0.260000,37.691685,1.048045,3.406790
0.270000,37.702503,1.081885,3.361323
0.280000,37.713656,1.115272,3.316134
0.290000,37.725138,1.148208,3.271223
0.300000,37.736945,1.180696,3.226591
0.310000,37.749073,1.212740,3.182236
0.320000,37.761516,1.244341,3.138159
0.330000,37.774271,1.275503,3.094361
0.340000,37.787333,1.306228,3.050840
0.350000,37.800699,1.336520,3.007598
0.360000,37.814362,1.366380,2.964633
0.370000,37.828320,1.395812,2.921947
0.380000,37.842569,1.424819,2.879539
0.390000,37.857103,1.453403,2.837408
0.400000,37.871918,1.481567,2.795556
0.410000,37.887011,1.509314,2.753982
0.420000,37.902378,1.536647,2.712685
0.430000,37.918014,1.563568,2.671667
0.440000,37.933914,1.590080,2.630927
0.450000,37.950076,1.616187,2.590465
0.460000,37.966495,1.641890,2.550281
0.470000,37.983167,1.667192,2.510375
0.480000,38.000088,1.692097,2.470747
0.490000,38.017254,1.716607,2.431397
0.500000,38.034661,1.740725,2.392325
0.510000,38.052306,1.764454,2.353531
0.520000,38.070184,1.787796,2.315015
0.530000,38.088291,1.810754,2.276777
0.540000,38.106625,1.833331,2.238817
0.550000,38.125180,1.855530,2.201136
0.560000,38.143954,1.877354,2.163732
0.570000,38.162942,1.898805,2.126606
0.580000,38.182141,1.919886,2.089759
0.590000,38.201547,1.940600,2.053189
0.600000,38.221156,1.960950,2.016897
0.610000,38.240965,1.980938,1.980884
0.620000,38.260971,2.000568,1.945148
0.630000,38.281169,2.019841,1.909691
0.640000,38.301557,2.038761,1.874511
0.650000,38.322130,2.057331,1.839610
0.660000,38.342886,2.075554,1.804987
0.670000,38.363820,2.093431,1.770641
0.680000,38.384930,2.110966,1.736574
0.690000,38.406212,2.128162,1.702785
0.700000,38.427662,2.145022,1.669274
0.710000,38.449277,2.161548,1.636040
0.720000,38.471055,2.177743,1.603085
0.730000,38.492991,2.193610,1.570408
0.740000,38.515082,2.209151,1.538009
0.750000,38.537326,2.224370,1.505888
0.760000,38.559719,2.239269,1.474045
0.770000,38.582257,2.253851,1.442480
0.780000,38.604938,2.268118,1.411193
0.790000,38.627759,2.282075,1.380184
0.800000,38.650716,2.295722,1.349454
0.810000,38.673807,2.309064,1.319001
0.820000,38.697028,2.322102,1.288826
0.830000,38.720376,2.334840,1.258929
0.840000,38.743849,2.347281,1.229310
0.850000,38.767443,2.359426,1.199970
0.860000,38.791156,2.371280,1.170907
0.870000,38.814985,2.382845,1.142123
0.880000,38.838926,2.394123,1.113616
0.890000,38.862977,2.405117,1.085387
0.900000,38.887135,2.415830,1.057437
0.910000,38.911398,2.426266,1.029765
0.920000,38.935762,2.436426,1.002370
0.930000,38.960225,2.446313,0.975254
0.940000,38.984785,2.455931,0.948415
0.950000,39.009438,2.465281,0.921855
0.960000,39.034181,2.474368,0.895573
0.970000,39.059013,2.483193,0.869569
0.980000,39.083931,2.491759,0.843842
0.990000,39.108931,2.500070,0.818394
1.000000,39.134013,2.508127,0.793224
1.010000,39.159172,2.515934,0.768332
1.020000,39.184407,2.523494,0.743718
1.030000,39.209715,2.530808,0.719382
1.040000,39.235094,2.537881,0.695324
1.050000,39.260541,2.544715,0.671544
1.060000,39.286054,2.551312,0.648042
1.070000,39.311631,2.557676,0.624818
1.080000,39.337269,2.563809,0.601872
1.090000,39.362966,2.569713,0.579205
1.100000,39.388720,2.575393,0.556815
1.110000,39.414529,2.580850,0.534703
1.120000,39.440389,2.586087,0.512869
1.130000,39.466301,2.591107,0.491314
1.140000,39.492260,2.595913,0.470036
1.150000,39.518265,2.600508,0.449037
1.160000,39.544314,2.604894,0.428315
1.170000,39.570404,2.609074,0.407872
1.180000,39.596535,2.613051,0.387706
1.190000,39.622703,2.616828,0.367819
1.200000,39.648907,2.620408,0.348209
1.210000,39.675145,2.623792,0.328878
1.220000,39.701415,2.626985,0.309825
1.230000,39.727715,2.629989,0.291049
1.240000,39.754043,2.632806,0.272552
1.250000,39.780397,2.635440,0.254333
1.260000,39.806776,2.637893,0.236392
1.270000,39.833178,2.640168,0.218729
1.280000,39.859601,2.642267,0.201343
1.290000,39.886043,2.644194,0.184236
1.300000,39.912502,2.645952,0.167407
1.310000,39.938978,2.647543,0.150856
1.320000,39.965467,2.648969,0.134583
1.330000,39.991970,2.650234,0.118588
1.340000,40.018483,2.651341,0.102872
1.350000,40.045006,2.652292,0.087433
1.360000,40.071537,2.653090,0.072272
1.370000,40.098074,2.653737,0.057389
1.380000,40.124617,2.654237,0.042784
1.390000,40.151162,2.654593,0.028458
1.400000,40.177711,2.654806,0.014409
1.410000,40.204259,2.654881,0.000638
1.420000,40.230808,2.654819,-0.012854
1.430000,40.257354,2.654624,-0.026069
1.440000,40.283897,2.654298,-0.039005
1.450000,40.310435,2.653844,-0.051664
1.460000,40.336968,2.653265,-0.064044
1.470000,40.363493,2.652563,-0.076147
1.480000,40.390011,2.651742,-0.087971
1.490000,40.416519,2.650804,-0.099517
1.500000,40.443016,2.649751,-0.110786
1.510000,40.469502,2.648588,-0.121776
1.520000,40.495975,2.647316,-0.132488
1.530000,40.522435,2.645938,-0.142922
1.540000,40.548879,2.644457,-0.153079
1.550000,40.575308,2.642876,-0.162957
1.560000,40.601720,2.641198,-0.172557
1.570000,40.628114,2.639425,-0.181879
1.580000,40.654490,2.637561,-0.190923
1.590000,40.680846,2.635607,-0.199689
1.600000,40.707182,2.633567,-0.208177
1.610000,40.733496,2.631443,-0.216387
1.620000,40.759789,2.629239,-0.224319
1.630000,40.786058,2.626957,-0.231972
1.640000,40.812304,2.624600,-0.239348
1.650000,40.838526,2.622170,-0.246446
1.660000,40.864723,2.619671,-0.253266
1.670000,40.890894,2.617105,-0.259807
1.680000,40.917038,2.614475,-0.266071
1.690000,40.943156,2.611783,-0.272057
1.700000,40.969247,2.609033,-0.277764
1.710000,40.995309,2.606228,-0.283194
1.720000,41.021343,2.603370,-0.288345
1.730000,41.047347,2.600461,-0.293219
1.740000,41.073322,2.597505,-0.297814
1.750000,41.099267,2.594505,-0.302132
1.760000,41.125182,2.591463,-0.306171
1.770000,41.151066,2.588381,-0.309932
1.780000,41.176918,2.585264,-0.313415
1.790000,41.202739,2.582113,-0.316621
1.800000,41.228529,2.578932,-0.319548
1.810000,41.254286,2.575722,-0.322197
1.820000,41.280011,2.572488,-0.324568
1.830000,41.305703,2.569231,-0.326661
1.840000,41.331363,2.565954,-0.328476
1.850000,41.356989,2.562661,-0.330013
1.860000,41.382583,2.559354,-0.331272
1.870000,41.408143,2.556036,-0.332253
1.880000,41.433670,2.552709,-0.332956
1.890000,41.459164,2.549377,-0.333381
1.900000,41.484624,2.546041,-0.333528
1.910000,41.510052,2.542706,-0.333397
1.920000,41.535445,2.539373,-0.332988
1.930000,41.560806,2.536046,-0.332300
1.940000,41.586133,2.532727,-0.331335
1.950000,41.611427,2.529420,-0.330092
1.960000,41.636688,2.526126,-0.328570
1.970000,41.661917,2.522848,-0.326771
1.980000,41.687113,2.519590,-0.324694
1.990000,41.712276,2.516354,-0.322338
2.000000,41.737408,2.513143,-0.319705
2.010000,41.762507,2.509960,-0.316793
2.020000,41.787576,2.506808,-0.313603
2.030000,41.812612,2.503688,-0.310136
2.040000,41.837618,2.500605,-0.306390
2.050000,41.862594,2.497560,-0.302367
2.060000,41.887540,2.494558,-0.298065
2.070000,41.912456,2.491599,-0.293485
2.080000,41.937342,2.488688,-0.288627
2.090000,41.962201,2.485827,-0.283491
2.100000,41.987031,2.483018,-0.278077
2.110000,42.011834,2.480265,-0.272386
2.120000,42.036609,2.477570,-0.266416
2.130000,42.061359,2.474937,-0.260168
2.140000,42.086082,2.472367,-0.253642
2.150000,42.110781,2.469864,-0.246838
2.160000,42.135455,2.467430,-0.239755
2.170000,42.160106,2.465069,-0.232395
2.180000,42.184734,2.462782,-0.224757
2.190000,42.209340,2.460574,-0.216841
2.200000,42.233924,2.458445,-0.208647
2.210000,42.258488,2.456401,-0.200174
2.220000,42.283032,2.454442,-0.191424
2.230000,42.307558,2.452572,-0.182396
2.240000,42.332066,2.450794,-0.173089
2.250000,42.356557,2.449110,-0.163505
2.260000,42.381032,2.447524,-0.153643
2.270000,42.405493,2.446038,-0.143502
2.280000,42.429939,2.444654,-0.133084
2.290000,42.454373,2.443376,-0.122387
2.300000,42.478795,2.442206,-0.111412
2.310000,42.503207,2.441148,-0.100160
2.320000,42.527609,2.440203,-0.088629
2.330000,42.552002,2.439375,-0.076820
2.340000,42.576389,2.438667,-0.064734
2.350000,42.600770,2.438080,-0.052369
2.360000,42.625146,2.437619,-0.039726
2.370000,42.649519,2.437286,-0.026805
2.380000,42.673890,2.437083,-0.013606
2.390000,42.698260,2.437014,-0.000129
2.400000,42.722631,2.437081,0.013626
2.410000,42.747004,2.437286,0.027659
2.420000,42.771380,2.437634,0.041970
2.430000,42.795761,2.438126,0.056559
2.440000,42.820149,2.438765,0.071426
2.450000,42.844544,2.439554,0.086571
2.460000,42.868949,2.440496,0.101994
2.470000,42.893365,2.441594,0.117695
2.480000,42.917794,2.442850,0.133675
2.490000,42.942236,2.444268,0.149932
2.500000,42.966695,2.445849,0.166418
2.510000,42.991171,2.447596,0.182889
2.520000,43.015666,2.449507,0.199098
2.530000,43.040182,2.451578,0.214997
2.540000,43.064720,2.453807,0.230587
2.550000,43.089282,2.456190,0.245866
2.560000,43.113869,2.458724,0.260836
2.570000,43.138483,2.461406,0.275495
2.580000,43.163125,2.464234,0.289844
2.590000,43.187797,2.467203,0.303884
2.600000,43.212500,2.470311,0.317613
2.610000,43.237236,2.473555,0.331033
2.620000,43.262005,2.476932,0.344142
2.630000,43.286810,2.480438,0.356942
2.640000,43.311650,2.484071,0.369431
2.650000,43.336529,2.487827,0.381611
2.660000,43.361446,2.491703,0.393480
2.670000,43.386403,2.495697,0.405040
2.680000,43.411401,2.499804,0.416289
2.690000,43.436441,2.504022,0.427229
2.700000,43.461524,2.508349,0.437858
2.710000,43.486652,2.512780,0.448178
2.720000,43.511825,2.517312,0.458188
2.730000,43.537045,2.521943,0.467887
2.740000,43.562311,2.526670,0.477277
2.750000,43.587626,2.531489,0.486356
2.760000,43.612990,2.536397,0.495126
2.770000,43.638404,2.541391,0.503586
2.780000,43.663869,2.546469,0.511735
2.790000,43.689385,2.551626,0.519575
2.800000,43.714954,2.556860,0.527105
2.810000,43.740575,2.562168,0.534324
2.820000,43.766251,2.567547,0.541234
2.830000,43.791981,2.572993,0.547834
2.840000,43.817766,2.578503,0.554123
2.850000,43.843607,2.584075,0.560103
2.860000,43.869504,2.589705,0.565773
2.870000,43.895458,2.595391,0.571133
2.880000,43.921469,2.601128,0.576182
2.890000,43.947538,2.606914,0.580922
2.900000,43.973666,2.612747,0.585352
2.910000,43.999852,2.618621,0.589472
2.920000,44.026097,2.624536,0.593282
2.930000,44.052402,2.630487,0.596781
2.940000,44.078767,2.636472,0.599971
2.950000,44.105192,2.642486,0.602851
2.960000,44.131677,2.648529,0.605421
2.970000,44.158223,2.654595,0.607681
2.980000,44.184830,2.660682,0.609631
2.990000,44.211497,2.666788,0.611270
3.000000,44.238227,2.672908,0.612600
3.010000,44.265017,2.679040,0.613620
3.020000,44.291869,2.685180,0.614330
3.030000,44.318782,2.691326,0.614730
3.040000,44.345757,2.697475,0.614820
3.050000,44.372793,2.703623,0.614600
3.060000,44.399891,2.709767,0.614070
3.070000,44.427050,2.715904,0.613230
3.080000,44.454270,2.722031,0.612080
3.090000,44.481551,2.728146,0.610620
3.100000,44.508894,2.734244,0.608850
3.110000,44.536297,2.740323,0.606770
3.120000,44.563761,2.746379,0.604380
3.130000,44.591285,2.752410,0.601680
3.140000,44.618869,2.758413,0.598670
3.150000,44.646513,2.764384,0.595350
3.160000,44.674216,2.770320,0.591720
3.170000,44.701978,2.776218,0.587780
3.180000,44.729799,2.782075,0.583530
3.190000,44.757678,2.787889,0.578970
3.200000,44.785615,2.793655,0.574100
3.210000,44.813608,2.799371,0.568920
3.220000,44.841659,2.805033,0.563430
3.230000,44.869765,2.810639,0.557631
3.240000,44.897927,2.816186,0.551521
3.250000,44.926144,2.821670,0.545101
3.260000,44.954414,2.827088,0.538371
3.270000,44.982739,2.832437,0.531331
3.280000,45.011116,2.837714,0.523981
3.290000,45.039545,2.842917,0.516322
3.300000,45.068025,2.848041,0.508352
3.310000,45.096556,2.853084,0.500072
3.320000,45.125137,2.858042,0.491482
3.330000,45.153766,2.862913,0.482583
3.340000,45.182443,2.867694,0.473373
3.350000,45.211167,2.872381,0.463853
3.360000,45.239936,2.876971,0.454023
3.370000,45.268751,2.881461,0.443884
3.380000,45.297609,2.885849,0.433434
3.390000,45.326511,2.890130,0.422674
3.400000,45.355454,2.894302,0.411604
3.410000,45.384437,2.898362,0.400225
3.420000,45.413460,2.902307,0.388535
3.430000,45.442522,2.906133,0.376535
3.440000,45.471620,2.909837,0.364226
3.450000,45.500754,2.913417,0.351606
3.460000,45.529923,2.916869,0.338677
3.470000,45.559125,2.920191,0.325437
3.480000,45.588359,2.923378,0.311887
3.490000,45.617623,2.926428,0.298028
3.500000,45.646916,2.929339,0.283858
3.510000,45.676237,2.932106,0.269379
3.520000,45.705585,2.934726,0.254589
3.530000,45.734957,2.937197,0.239490
3.540000,45.764352,2.939516,0.224080
3.550000,45.793769,2.941679,0.208361
3.560000,45.823205,2.943683,0.192331
3.570000,45.852661,2.945526,0.175991
3.580000,45.882133,2.947203,0.159342
3.590000,45.911620,2.948712,0.142383
3.600000,45.941120,2.950051,0.125113
3.610000,45.970632,2.951215,0.107534
3.620000,46.000155,2.952201,0.089644
3.630000,46.029685,2.953008,0.071445
3.640000,46.059221,2.953630,0.052935
3.650000,46.088762,2.954066,0.034116
3.660000,46.118305,2.954313,0.014986
3.670000,46.147848,2.954366,-0.004453
3.680000,46.177391,2.954224,-0.024202
3.690000,46.206929,2.953882,-0.044262
3.700000,46.236463,2.953338,-0.064631
3.710000,46.265989,2.952589,-0.085310
3.720000,46.295505,2.951632,-0.106300
3.730000,46.325010,2.950463,-0.127599
3.740000,46.354500,2.949080,-0.149208
3.750000,46.383975,2.947479,-0.171128
3.760000,46.413432,2.945658,-0.193357
3.770000,46.442868,2.943612,-0.215896
3.780000,46.472281,2.941340,-0.238746
